5f9da187736122db93a83561,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Product Name,product_desctiption,UOM,Is veg,Harvest Price,MRP
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cadbury Silk Fruit and Nut  137G,-,1PC,TRUE,175,175
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Nestle Clasic 16g,-,1PC,TRUE,20,20
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,5star mocha,-,1PC,TRUE,10,10
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SNICKERS ALMOND 22G,-,1PC,TRUE,25,25
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Snickers50g,-,1PC,TRUE,40,40
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Bounty Toffee,-,1PC,TRUE,25,25
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Jolly Rancher Trilple Pop 19g,-,1PC,TRUE,10,10
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Jolly Rancher Trilple Pop 19g,-,1PC,TRUE,10,10
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Hersheys CNC 100GM Baar,-,1PC,TRUE,130,130
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Herseys Almonds  Bar 100g,-,1PC,TRUE,140,140
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cadbury Buttersctoch 36G Rs.45,-,1PC,TRUE,45,45
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cadbury  36G Paan Jeer,-,1PC,TRUE,45,45
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cadbury Bournville Cranberry 80G,-,1PC,TRUE,100,100
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cadbury Perk26g,-,1PC,TRUE,10,10
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kinder Creamy Milky 19g,-,1PC,TRUE,20,20
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Oreo Cadbury Dipped,-,1PC,TRUE,25,25
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cadbury Dairy Milk Champions Pack 130g,-,1PC,TRUE,100,100
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"Cadbury Nutties Chocolate, 30 g",-,30g,TRUE,40,40
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Amul Raisin Chocolate,-,1PC,TRUE,200,200
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Amul Tanzania 125gr,-,125g,TRUE,150,150
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Hershey's Exotic Dark Premium choclates,-,1PC,TRUE,150,150
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Hi Volt Whey Protein Bar 50g,-,1PC,TRUE,125,125
5f9da187736122db93a83561,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cadbury Bournville 50% Dark,-,1PC,TRUE,100,100
